# Rime user dictionary
#@/db_name	luwei.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	29023
#@/user_id	Win10-weasel
bu xiang 	不想	c=25 d=0.826959 t=29023
bu xiang 	不香	c=2 d=1 t=26493
bu xiang hua 	不像話	c=1 d=1 t=9756
bu xiang qu 	不想去	c=1 d=1 t=3710
bu xiang shuo 	不想说	c=3 d=1 t=18652
bu xiang tong 	不相同	c=1 d=1 t=24694
bu xiao 	不小	c=1 d=1 t=14569
bu xing 	不行	c=10 d=0.953716 t=29023
bu xing le 	不行了	c=1 d=1 t=9874
bu xu yao 	不需要	c=4 d=1 t=26925
bu xue 	補血	c=0 d=0.1 t=17809
bu ya 	補牙	c=1 d=1 t=8058
bu yao 	不要	c=90 d=0.540817 t=29023
bu yi 	不已	c=0 d=0.1 t=9238
bu yi ding 	不一定	c=3 d=1.12419 t=26247
bu yi wei ran 	不以爲然	c=1 d=1 t=27859
bu yi yan 	不一眼	c=1 d=1 t=27103
bu yi yang 	不一樣	c=17 d=1.00014 t=28937
bu ying gai 	不應該	c=7 d=1 t=27545
bu ying xiang 	不影響	c=1 d=1 t=15656
bu yong 	不用	c=6 d=1 t=23055
bu yong guan 	不用管	c=1 d=1 t=13828
bu yong qu 	不用去	c=1 d=1 t=5375
bu you 	不由	c=1 d=1 t=10247
bu yu kuai 	不愉快	c=1 d=1 t=5760
bu yuan yi 	不願意	c=4 d=1.00224 t=7505
bu yun xu 	不允許	c=1 d=1 t=16969
bu za di 	不咋地	c=1 d=1 t=9079
bu zai 	不在	c=6 d=2.41527 t=26133
bu zai yi 	不在意	c=1 d=1 t=18397
bu zen me 	不怎麼	c=1 d=1 t=23729
bu zhao 	不找	c=0 d=0.1 t=22961
bu zhao wo le 	不找我了	c=1 d=1 t=22962
bu zhi 	不止	c=3 d=1 t=26101
bu zhi cuo 	不知錯	c=1 d=1 t=12677
bu zhi dao 	不知道	c=36 d=1.01488 t=28791
bu zhi de 	不值得	c=1 d=1 t=18309
bu zhi suo cuo 	不知所措	c=1 d=1 t=3477
bu zhi yang 	不止癢	c=1 d=1 t=14059
bu zhi yi ti 	不值一提	c=1 d=1 t=18199
bu zhong di 	不中的	c=0 d=0.1 t=6046
bu zhong di o 	不中的哦	c=1 d=1 t=6047
bu zhong yao 	不重要	c=2 d=1.00571 t=18418
bu zhou 	步驟	c=3 d=1.0001 t=13896
bu zhun 	不準	c=1 d=1 t=4989
bu zhuo diao 	不着調	c=3 d=1 t=19388
bu zu 	不足	c=2 d=1.00004 t=14701
bu zu wei qi 	不足爲奇	c=1 d=1 t=21417
bu zuo 	不做	c=9 d=1 t=23046
bu zuo wei 	不作爲	c=1 d=1 t=14698
bu zuo ye bu hao 	不做也不好	c=1 d=1 t=14783
ca jian er guo 	擦肩而過	c=1 d=1 t=2035
cai 	才	c=15 d=1 t=28706
cai 	材	c=0 d=0.1 t=2220
cai 	菜	c=1 d=1 t=27439
cai 	踩	c=1 d=1 t=14554
cai ce 	猜測	c=5 d=1.34711 t=12368
cai chu xian 	才出現	c=1 d=1 t=19027
cai hui 	纔會	c=1 d=1 t=13356
cai ji 	菜鸡	c=2 d=1.00016 t=28999
