# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	942
#@/user_id	4fb8f7d9-104e-4807-ad03-13bea3f26262
a 	啊	c=3 d=1.38235 t=942
ze ren 	責任	c=1 d=0.178173 t=942
zen 	怎	c=1 d=0.904837 t=942
zen me 	怎麼	c=4 d=3.34167 t=942
zhang kong 	掌控	c=2 d=0.637575 t=942
zhao tian 	趙田	c=1 d=0.090718 t=942
zhe dian 	這點	c=1 d=0.0850088 t=942
zhe ge 	這個	c=6 d=2.51242 t=942
zhe me 	這麼	c=2 d=0.571924 t=942
zhe xie 	這些	c=2 d=1.17727 t=942
zhe yang 	這樣	c=3 d=1.47372 t=942
zhe ye 	這也	c=1 d=0.744532 t=942
zhen 	真	c=1 d=0.514274 t=942
zhen de 	真的	c=6 d=1.72178 t=942
zheng ming 	證明	c=2 d=1.11298 t=942
zhi 	值	c=2 d=1.4167 t=942
zhi dao 	知道	c=1 d=0.67032 t=942
zhi en 	之恩	c=0 d=0.00753961 t=942
zhi en na ge 	之恩那個	c=1 d=0.075774 t=942
zhi jie 	直接	c=1 d=0.0804596 t=942
zhi neng 	只能	c=1 d=0.0761538 t=942
zhi shao 	至少	c=1 d=0.0953692 t=942
zhi shi 	只是	c=1 d=0.666977 t=942
zhi shu 	指數	c=1 d=0.367879 t=942
zhong 	中	c=1 d=0.955997 t=942
zhong jian 	中間	c=1 d=0.398519 t=942
zhong yu 	終於	c=2 d=0.782011 t=942
zhou liu 	週六	c=1 d=0.235746 t=942
zhou wei 	周圍	c=1 d=0.114178 t=942
zhou wu 	週五	c=1 d=0.0682212 t=942
zhu 	主	c=0 d=0.0579842 t=942
zhu 	住	c=1 d=0.869358 t=942
zhu 	豬	c=0 d=0.0995012 t=942
zhu ding li 	主定理	c=1 d=0.582748 t=942
zhuan huan 	轉換	c=1 d=0.186374 t=942
zhuang 	裝	c=1 d=0.0837432 t=942
zhuang tai 	狀態	c=1 d=0.245367 t=942
zhun ce 	準測	c=1 d=0.771052 t=942
zhun ze 	準則	c=1 d=0.883647 t=942
zi 	子	c=0 d=0.0506617 t=942
zi 	字	c=1 d=0.934397 t=942
zi bian liang 	自變量	c=2 d=1.04673 t=942
zi ding yi 	自定義	c=3 d=0.937067 t=942
zi hao 	字號	c=1 d=0.970446 t=942
zi ji 	自己	c=12 d=4.81886 t=942
zi shu lie 	子數列	c=1 d=0.509156 t=942
zi ti 	字體	c=1 d=0.965605 t=942
zu 	租	c=1 d=0.22091 t=942
zui shang mian 	最上面	c=2 d=1.83249 t=942
zui xiao 	最小	c=2 d=1.84626 t=942
zui zhi 	最值	c=1 d=0.932394 t=942
zuo 	做	c=3 d=1.5216 t=942
zuo 	左	c=1 d=0.543351 t=942
zuo bu wan 	做不玩	c=1 d=0.0784731 t=942
zuo de 	做的	c=1 d=0.349938 t=942
zuo hao 	做好	c=1 d=0.210136 t=942
zuo ji 	坐騎	c=1 d=0.918512 t=942
zuo ren 	做人	c=1 d=0.101774 t=942
